Sensor,Instance,Error,Level,Decription
0,1,1,3,Engine will not start
0,1,2,2,Engine low on fuel
0,1,3,3,Engine out of fuel
1,1,1,3,Loss of signal
1,1,2,3,Not receiving commands
1,1,3,3,Not sending info
